개방시설명,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,소재지도로명주소,소재지지번주소,사용안내전화번호,위도,경도,데이터기준일자
당동청소년문화의집 공연연습실,월,9:00,21:00,9:00,18:00,N,,무료,,,20,,경기도 군포시 당산로 76,,,37.3583048,126.9462007,2023-11-30
당동청소년문화의집 미니문고,월,9:00,21:00,9:00,18:00,N,,무료,,,5,,경기도 군포시 당산로 76,,,37.3583048,126.9462007,2023-11-30
당동청소년문화의집 노래방(당동청소년문화의집),월,9:00,21:00,9:00,18:00,N,,무료,,,10,,경기도 군포시 당산로 76,,,37.3583048,126.9462007,2023-11-30
당동청소년문화의집 음악연습실,월,9:00,21:00,9:00,18:00,N,,무료,,,5,,경기도 군포시 당산로 76,,,37.3583048,126.9462007,2023-11-30
당동청소년문화의집 댄스연습실,월,9:00,21:00,9:00,18:00,N,,무료,,,20,,경기도 군포시 당산로 76,,,37.3583048,126.9462007,2023-11-30
당동청소년문화의집 아지트,월,9:00,21:00,9:00,18:00,N,,무료,,,5,,경기도 군포시 당산로 76,,,37.3583048,126.9462007,2023-11-30
당동청소년문화의집 청소년운영위원실,월,9:00,21:00,9:00,18:00,N,,무료,,,20,,경기도 군포시 당산로 76,,,37.3583048,126.9462007,2023-11-30
당동청소년문화의집 1인 미디어실,월,9:00,21:00,9:00,18:00,N,,무료,,,5,,경기도 군포시 당산로 76,,,37.3583048,126.9462007,2023-11-30
당동청소년문화의집 다목적실(당동청소년문화의집),월,9:00,21:00,9:00,18:00,N,,무료,,,30,,경기도 군포시 당산로 76,,,37.3583048,126.9462007,2023-11-30
군포시청소년수련관 청소년 어울림 극장,일,9:00,21:00,9:00,21:00,Y,1,(평일 9시~12시)50000원+(토요일 9시~12시)60000원+(평일 4시~17시)60,,,180,,경기도 군포시 산본로 322 (금정동),,,37.35982376,126.9347608,2023-11-30
군포시청소년수련관 동아리실 하눌타리,일,9:00,21:00,9:00,18:00,N,,무료,,,15,,경기도 군포시 산본로 322 (금정동),,,37.35982376,126.9347608,2023-11-30
군포문화원 다목적실(군포문화원),토+일,9:00,18:00,0:00,0:00,Y,2,(2시간당)100000원,,,60,,경기도 군포시 한세로56번길 12 (당정동),,,37.34722585,126.9548318,2023-11-30
서초2동주민센터 문화교실 3,수요일+토요일+일요일+공휴일,9:00,18:00,0:00,0:00,N,,,,,15,49,서울특별시 서초구 서초대로70길 51,,02-2155-7446,37.492069,127.024948,2023-12-06
수리산상상마을 대강당 오디토리움,일,9:00,20:30,9:00,17:00,Y,1,(평일 시간당)20000원+(토요일 시간당)24000원,,,80,,경기도 군포시 수리산로 112 (산본동),,,37.35921675,126.9194206,2023-11-30
중앙도서관 오픈갤러리,금,9:00,18:00,9:00,18:00,N,,무료,,,20,,경기도 군포시 수리산로 79 (산본동),,,37.35532434,126.9157245,2023-11-30
군포산업진흥원 교육훈련실,토+일,9:00,18:00,0:00,0:00,N,,무료,,,12,,경기도 군포시 군포첨단산업2로22번길 5 (부곡동),,,37.32569678,126.9429153,2023-11-30
산본1동마을커뮤니티센터 회의실,토+일,9:00,18:00,0:00,0:00,N,,무료,,,45,,경기도 군포시 산본천로 207 (산본동),,,37.37109729,126.940336,2023-11-30
산본1동마을커뮤니티센터 교육실,토+일,9:00,18:00,0:00,0:00,N,,무료,,,20,,경기도 군포시 산본천로 207 (산본동),,,37.37109729,126.940336,2023-11-30
산본1동마을커뮤니티센터 연습실,토+일,9:00,18:00,0:00,0:00,N,,무료,,,20,,경기도 군포시 산본천로 207 (산본동),,,37.37109729,126.940336,2023-11-30
산1틴터 오픈룸1,월+일,10:00,19:00,10:00,19:00,N,,무료,,,8,,경기도 군포시 산본천로 207 (산본동),,,37.37109729,126.940336,2023-11-30
산1틴터 오픈룸2,월+일,10:00,19:00,10:00,19:00,N,,무료,,,8,,경기도 군포시 산본천로 207 (산본동),,,37.37109729,126.940336,2023-11-30
부곡틴터 생기충전,월+일,10:00,19:00,10:00,19:00,N,,무료,,,6,,경기도 군포시 군포첨단산업2로 13,,,37.32664758,126.941678,2023-11-30
부곡틴터 활력충전,월+일,10:00,19:00,10:00,19:00,N,,무료,,,10,,경기도 군포시 군포첨단산업2로 13,,,37.32664758,126.941678,2023-11-30
부곡틴터 홀,월+일,10:00,19:00,10:00,19:00,N,,무료,,,16,,경기도 군포시 군포첨단산업2로 13,,,37.32664758,126.941678,2023-11-30
궁내동주민센터 주민소통방,토+일,9:00,18:00,0:00,0:00,N,,무료,,,6,,경기도 군포시 고산로517번길 10 (산본동),,,37.35965817,126.9218479,2023-11-30
군포시평생학습원 304호 동아리실(우리동네 학습공간),월+화+수+금+일,9:00,18:00,9:00,18:00,N,,무료,,,24,,경기도 군포시 고산로 263,,,37.34634696,126.94308,2023-11-30
광정동주민커뮤니티센터 주민커뮤니티센터 회의실,토+일,9:00,18:00,0:00,0:00,N,,무료,,,40,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
광정동주민커뮤니티센터 커뮤니티센터 지음샘(프로그램1),토+일,9:00,18:00,0:00,0:00,N,,무료,,,10,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
광정동주민커뮤니티센터 커뮤니티센터 슬기샘(프로그램2),토+일,9:00,18:00,0:00,0:00,N,,무료,,,20,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
광정동주민커뮤니티센터 커뮤니티센터 지음생+슬기샘,토+일,9:00,18:00,0:00,0:00,N,,무료,,,30,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
광정동주민커뮤니티센터 커뮤니티센터 커뮤니티실,토+일,9:00,18:00,0:00,0:00,N,,무료,,,12,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
광정동청소년문화의집 댄스실,월,9:00,21:00,9:00,18:00,N,,무료,,,10,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
광정동청소년문화의집 연극연습실,월,9:00,21:00,9:00,18:00,N,,무료,,,8,,경기도 군포시 광정로 106 (산본동),,,37.36208607,126.927942,2023-11-30
서초2동주민센터 문화교실 2,수요일+토요일+일요일+공휴일,9:00,18:00,0:00,0:00,N,,,,,15,94,서울특별시 서초구 서초대로70길 51,,02-2155-7446,37.492069,127.024948,2023-12-06
옥녀봉체육시설 축구장,설 연휴+추석 연휴,6:00,20:00,6:00,20:00,Y,2,40000,,,,8020,대전광역시 서구 도안북로 158(도안동),,042-582-3999,36.33173992,127.3448293,2024-02-26
옥녀봉체육시설 X-game장,설 연휴+추석 연휴,6:00,18:00,8:00,18:00,N,,,,,,2053,대전광역시 서구 도안북로 158(도안동),,042-582-3999,36.33173992,127.3448267,2024-02-26
옥녀봉체육시설 풋살경기장,설 연휴+추석 연휴,6:00,20:00,8:00,20:00,Y,1,20000,,,,1068,대전광역시 서구 도안북로 158(도안동),,042-582-3999,36.33173992,127.3448267,2024-02-26
옥녀봉체육시설 인공암벽,설 연휴+추석 연휴,6:00,18:00,8:00,18:00,N,,,,,,639,대전광역시 서구 도안북로 158(도안동),,042-582-3999,36.33173992,127.3448267,2024-02-26
옥녀봉체육시설 배드민턴장,설 연휴+추석 연휴,6:00,18:00,8:00,18:00,N,,,,,,286,대전광역시 서구 도안북로 158(도안동),,042-582-3999,36.33173992,127.3448267,2024-02-26
도마실국민체육센터 수영장,일+공휴일+설 연휴+추석 연휴,6:00,22:00,6:00,18:00,Y,,4300,,,,1009,대전광역시 서구 유등로 235(도마동),,042-582-5556,36.31242202,127.3852119,2024-02-26
"도마실국민체육센터(배드민턴, 탁구)",일+공휴일+설 연휴+추석 연휴,6:00,22:00,6:00,18:00,Y,2,2200,,,,981,대전광역시 서구 유등로 235(도마동),,042-582-5556,36.31242202,127.3852119,2024-02-26
남선공원종합체육관 빙상장,설 연휴+추석 연휴,10:00,17:45,10:00,18:45,Y,,7500,,,,1750,대전광역시 서구 남선로 66(탄방동),,042-488-5614,36.34623037,127.3979912,2024-02-26
남선공원종합체육관 헬스장,설 연휴+추석 연휴,6:00,22:45,10:00,18:45,Y,,50000,,,,355,대전광역시 서구 남선로 66(탄방동),,042-488-5614,36.34623037,127.3979912,2024-02-26
남선공원종합체육관 수영장,설 연휴+추석 연휴,6:00,22:00,10:00,18:45,Y,,4300,,,,1965,대전광역시 서구 남선로 66(탄방동),,042-488-5614,36.34623037,127.3979912,2024-02-26
남선공원종합체육관 골프연습장,설 연휴+추석 연휴,6:00,22:45,10:00,18:45,Y,,5000,,,,244,대전광역시 서구 남선로 66(탄방동),,042-488-5614,36.34623037,127.3979912,2024-02-26
남선공원종합체육관 골프연습장(가상장비활용),설 연휴+추석 연휴,6:00,22:45,10:00,18:45,Y,,12000,,,,244,대전광역시 서구 남선로 66(탄방동),,042-488-5614,36.34623037,127.3979912,2024-02-26
탄방탁구장,일+공휴일,8:00,22:00,10:00,20:00,Y,2,2200,,,,583,대전광역시 서구 계룡로629번길 63(탄방동),,0507-1350-867,36.341376,127.3946064,2024-02-26
인천광역시 남동구청 대강당,주말+공휴일,18:00,21:00,0:00,0:00,Y,1,80000,1,80000,510,554,인천광역시 남동구 소래로633,인천광역시 남동구 만수동 1008,032-453-2185,37.4473902,126.7306784,2024-02-26
인천광역시 남동구청 소강당,주말+공휴일,18:00,21:00,0:00,0:00,Y,1,50000,1,50000,100,376,인천광역시 남동구 소래로633,인천광역시 남동구 만수동 1008,032-453-2185,37.4473902,126.7306784,2024-02-26
청소년문화의집-밴드연습실,토+일+공휴일,9:00,13:00,0:00,0:00,N,2,,,,5,37.8,전라남도 순천시 명말1길 57,,061-749-3782,34.94226238,127.5215684,2024-01-10
백두대간생태교육장 전시실,월+1월1일+설 연휴+추석 연휴,10:00,17:00,10:00,17:00,Y,,(어른)2000원+(청소년)1000원+(어린이)500원,,,100,9908,경상남도 거창군 고제면 빼재로 2325,경상남도 거창군 고제면 개명리 2051-13,055-940-7495,35.867071,127.829181,2024-02-15
거창월성우주창의과학관 전시실,월+설 당일+추석 당일,9:30,17:30,9:30,17:30,Y,1.5,(개인 일반인)3000원+(개인 청소년 및 어린이)2000원+(단체 일반인)2500원+(단,0,0,90,449,경상남도 거창군 북상면 덕유월성로 1312-96,경상남도 거창군 북상면 월성리 1608,070-4693-5470,35.76120302,127.724,2024-02-15
거창군청소년수련관 한마당터,법정공휴일,9:00,18:00,10:00,18:00,Y,3,(평일)50000원+(주말)65000원+(냉난방기 사용시 추가)20000원,1,10000,100,262,경상남도 거창군 거창읍 교촌길 100-30,경상남도 거창군 거창읍 가지리 256,055-940-8700,35.692779,127.906408,2024-02-15
거창군청소년수련관 참배움터,법정공휴일,9:00,18:00,10:00,18:00,Y,2,(평일)20000원+(주말)26000원+(냉난방기 사용시 추가)20000원,1,10000,50,113,경상남도 거창군 거창읍 교촌길 100-30,경상남도 거창군 거창읍 가지리 256,055-940-8700,35.692779,127.906408,2024-02-15
순천만국가정원 습지센터 야외공연장,연중무휴,9:00,12:00,9:00,12:00,Y,3,15000,,,300,910,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
순천만국가정원 습지센터 야외공연장,연중무휴,13:00,18:00,13:00,18:00,Y,5,20000,,,300,910,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
순천만국가정원 동천 갯벌공연장,연중무휴,9:00,18:00,9:00,18:00,Y,8,180000,,,2000,5150,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
순천만국가정원 동천 갯벌공연장,연중무휴,9:00,12:00,9:00,12:00,Y,3,75000,,,2000,5150,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
순천만국가정원 동천 갯벌공연장,연중무휴,13:00,18:00,13:00,18:00,Y,5,110000,,,2000,5150,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
순천만국가정원 갯지렁이 전시관,연중무휴,9:00,18:00,9:00,18:00,Y,8,72000,,,50,92,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
몽미락센터 회의실,토+일+공휴일,9:00,18:00,0:00,0:00,N,3,,,,20,53.29,전라남도 순천시 대전머리길 108,,061-746-0346,34.94825371,127.4916655,2024-01-10
몽미락센터-공유주방3,토+일+공휴일,9:00,18:00,0:00,0:00,N,3,,,,20,81.2,전라남도 순천시 대전머리길 108,,061-746-0346,34.94825371,127.4916655,2024-01-10
몽미락센터-공유주방2,토+일+공휴일,9:00,18:00,0:00,0:00,N,3,,,,20,81.2,전라남도 순천시 대전머리길 108,,061-746-0346,34.94825371,127.4916655,2024-01-10
몽미락센터-공유주방1,토+일+공휴일,9:00,18:00,0:00,0:00,N,3,,,,20,81.2,전라남도 순천시 대전머리길 108,,061-746-0346,34.94825371,127.4916655,2024-01-10
장천 노랑극장 (연습실 2실),토+일+공휴일,9:00,18:00,0:00,0:00,N,3,,,,20,43,전라남도 순천시 장천6길 8,,061-746-0346,34.94735046,127.4900775,2024-01-10
장천 노랑극장,토+일+공휴일,9:00,18:00,0:00,0:00,N,3,,,,100,285,전라남도 순천시 장천6길 8,,061-746-0346,34.94735046,127.4900775,2024-01-10
저전동행정복지센터 저전 나눔터 회의실,연중무휴,10:00,21:00,10:00,21:00,N,3,,,,26,185,전라남도 순천시 장천6길 8,,061-746-0346,34.94735046,127.4900775,2024-01-10
저전동행정복지센터 저전 나눔터 전시실 전체전시,토+일+공휴일,9:00,21:00,0:00,0:00,N,3,,,,26,185,전라남도 순천시 장천6길 8,,061-749-8269,34.94735046,127.4900775,2024-01-10
장천파랑새창고 교육회의실(교육/회의),연중무휴,8:00,18:00,8:00,18:00,N,3,,,,50,232.2,전라남도 순천시 장천5길 35-7,,061-746-0346,34.94811367,127.4924816,2024-01-10
장천패랑새창고 전시행사실(전시/행사),연중무휴,8:00,18:00,8:00,18:00,N,3,,,,50,232.2,전라남도 순천시 장천5길 35-7,,061-746-0346,34.94811367,127.4924816,2024-01-10
청소년문화의집-다목적실,토+일+공휴일,9:00,13:00,0:00,0:00,N,2,,,,50,155.1,전라남도 순천시 명말1길 57,,061-749-3782,34.94226238,127.5215684,2024-01-10
청소년문화의집-댄스연습실2,토+일+공휴일,9:00,13:00,0:00,0:00,N,2,,,,6,21.12,전라남도 순천시 명말1길 57,,061-749-3782,34.94226238,127.5215684,2024-01-10
청소년문화의집-댄스연습실1,토+일+공휴일,9:00,13:00,0:00,0:00,N,2,,,,10,36.61,전라남도 순천시 명말1길 57,,061-749-3782,34.94226238,127.5215684,2024-01-10
문수힐링피크닉장,"매주 월요일, 1월 1일, 설·추석 당일",11:00,22:00,11:00,22:00,Y,,10000,,,,,울산광역시 남구 옥동 852,울산광역시 남구 옥동 852,052-223-0222,35.53350327,129.269925,2019-10-02
회의실,법정공휴일,9:00,21:00,9:00,17:00,Y,2,"20,000원",1,10000,20,45.56,서울특별시 도봉구 방학로3길 117,,02-2091-5528,37.6580211,127.0387508,2019-06-28
희망누리,법정공휴일,10:00,22:00,0:00,0:00,Y,3,"5,000원",1,1500,12,20,서울특별시 도봉구 덕릉로 329,,02-993-3222,37.6448368,127.0454579,2019-06-28
강당,법정공휴일,10:00,20:00,0:00,0:00,Y,3,"25,000원",1,8000,80,80,서울특별시 도봉구 덕릉로 329,,02-993-3222,37.6448368,127.0454579,2019-06-28
주민사랑방,법정공휴일,9:00,21:00,10:00,18:00,Y,0,0,0,0,10,6.6,서울특별시 도봉구 시루봉로 62-7,,02-2091-5586,37.6564188,127.0283688,2019-06-28
강당,법정공휴일,9:00,21:00,10:00,18:00,Y,2,"25,000원",1,12500,50,100,서울특별시 도봉구 노해로44길 9,,02-2091-5554,37.6489437,127.0279086,2019-06-28
도봉구 화음 카페,법정공휴일,9:00,18:00,0:00,0:00,Y,1,1인 1음료,,,15,13.22,서울특별시 도봉구 마들로 656,,070-4251-4264,37.6686287,127.0470496,2019-06-28
3층 대강당,법정공휴일,9:00,21:00,10:00,18:00,Y,1,"5,000원",1,2500,50,224.64,서울특별시 도봉구 노해로 147,,02-2091-5504,37.6479992,127.0260364,2019-06-28
다목적강좌실,법정공휴일,9:00,21:00,9:00,17:00,Y,2,"20,000원",1,10000,100,180.95,서울특별시 도봉구 방학로3길 117,,02-2091-5528,37.6580211,127.0387508,2019-06-28
2층 회의실,법정공휴일,9:00,21:00,10:00,18:00,Y,2,"25,000원",1,12500,30,50,서울특별시 도봉구 노해로44길 9,,02-2091-5554,37.6489437,127.0279086,2019-06-28
2층 회의실,법정공휴일,9:00,21:00,10:00,18:00,Y,1,"5,000원",1,2500,30,90.72,서울특별시 도봉구 노해로 147,,02-2091-5504,37.6479992,127.0260364,2019-06-28
순천만국가정원 습지센터 소회의실 5(1층),연중무휴,9:00,18:00,0:00,23:59,Y,2,15000,1,10000,15,26,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
순천만국가정원 습지센터 소회의실 5(1층),연중무휴,0:00,23:59,9:00,18:00,Y,2,20000,1,10000,15,26,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
순천만국가정원 습지센터 입체영상관,연중무휴,9:00,18:00,9:00,18:00,Y,3,100000,,,180,470,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
순천만국가정원 습지센터 정원연회장,연중무휴,9:00,18:00,9:00,18:00,Y,3,100000,,,220,208,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
순천만국가정원 동문 소회의실3,연중무휴,9:00,18:00,0:00,23:59,Y,2,70000,1,10000,70,147,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
순천만국가정원 동문 소회의실3,연중무휴,0:00,23:59,9:00,18:00,Y,2,110000,1,10000,70,147,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
순천문화예술회관 대극장,연중무휴,8:00,22:00,8:00,22:00,Y,8,600000,,,914,6506,전라남도 순천시 삼산로16,,061-749-8612,34.9705296,127.4852768,2024-01-10
순천만국가정원 동문 소회의실4,연중무휴,9:00,18:00,9:00,18:00,Y,2,40000,1,10000,30,80,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
순천만국가정원 동문 소회의실4,연중무휴,0:00,23:59,9:00,18:00,Y,2,60000,1,10000,30,80,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
순천만국가정원 습지센터 야외공연장,연중무휴,9:00,18:00,9:00,18:00,Y,8,35000,,,300,910,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
고양어울림누리 극장,월,9:00,0:00,9:00,0:00,Y,,,,,1290,,경기도 고양시 덕양구 어울림로 33,경기도 고양시 덕양구 성사동 826,031-960-9752,37.64905648,126.835368,2023-12-22
순천만국가정원 습지센터 소회의실 2(2층),연중무휴,0:00,23:59,9:00,18:00,Y,2,40000,1,10000,15,54,전라남도 순천시 국가정원1호길 47,,1577-2013,34.92888669,127.4999574,2024-01-10
서구청소년수련관 청소년동아리방,일+공휴일,6:00,21:00,7:00,17:00,Y,4,50000,1,12500,30,25.8,대구광역시 서구 문화로 122,대구광역시 서구 이현동 48-8,053-572-2451,35.87363628,128.545478,2024-02-21
서구청소년수련관 강의실(소),일+공휴일,6:00,21:00,7:00,17:00,Y,4,20000,1,5000,10,39.6,대구광역시 서구 문화로 122,대구광역시 서구 이현동 48-8,053-572-2451,35.87361826,128.545478,2024-02-21
서구청소년수련관 강의실(대),일+공휴일,6:00,21:00,7:00,17:00,Y,4,30000,1,7500,10,110.9,대구광역시 서구 문화로 122,대구광역시 서구 이현동 48-8,053-572-2451,35.8736296,128.545478,2024-02-21
서구비원뮤직홀 주차장,연중무휴,18:00,9:00,0:00,23:59,N,,,,,,,대구광역시 서구 달서천로 374,대구광역시 서구 원대동1가 633,053-663-3681,35.8830502,128.5745835,2024-02-21
서구비원뮤직홀 공연장,공휴일,9:00,22:00,9:00,22:00,Y,,30000,,,,,대구광역시 서구 달서천로 374,대구광역시 서구 원대동1가 633,053-663-3681,35.8830502,128.5745835,2024-02-21
서구비원뮤직홀 연습실,공휴일,9:00,22:00,9:00,22:00,Y,,30000,,,,,대구광역시 서구 달서천로 374,대구광역시 서구 원대동1가 633,053-663-3681,35.8830502,128.5745835,2024-02-21
중화문화복지센터 강당,토+일,10:00,16:00,0:00,0:00,Y,2,10000원,1,5000,40,85,서울특별시 중랑구 중랑역로3길 28,서울특별시 중랑구 중화동 321-37,02-2094-6373,37.59501969,127.0748913,2024-01-30
중화1동주민센터 생활체육실,일,9:00,21:00,9:00,17:00,Y,2,10000원,1,5000,30,80,서울특별시 중랑구 동일로134길 17,서울특별시 중랑구 중화동 287-3,02-2094-6333,37.601132,127.080648,2024-01-30
중화1동주민센터 대회의실,일,9:00,21:00,9:00,17:00,Y,2,10000원,1,5000,15,38,서울특별시 중랑구 동일로134길 17,서울특별시 중랑구 중화동 287-3,02-2094-6333,37.601132,127.080648,2024-01-30
신내2동주민센터 대회의실,일,9:00,21:00,10:00,14:00,Y,2,10000원,1,5000,40,140,서울특별시 중랑구 봉화산로 190,서울특별시 중랑구 신내동 665,02-2094-6628,37.606228,127.094147,2024-01-30
신내2동주민센터 북카페 회의실,일,10:00,18:00,10:00,14:00,Y,2,10000원,1,5000,15,35,서울특별시 중랑구 봉화산로 190,서울특별시 중랑구 신내동 665,02-2094-6628,37.606228,127.094147,2024-01-30
신내1동주민센터 강당,토+일,9:00,21:00,0:00,0:00,Y,3,10000원,1,5000,50,180,서울특별시 중랑구 용마산로129나길 35,서울특별시 중랑구 신내동 448-1,02-2094-6573,37.605854,127.0995038,2024-01-30
신내1동주민센터 회의실,토+일,9:00,21:00,0:00,0:00,Y,3,10000원,1,5000,20,65,서울특별시 중랑구 용마산로129나길 35,서울특별시 중랑구 신내동 448-1,02-2094-6573,37.605854,127.0995038,2024-01-30
군포시생활문화센터 밴드연습실,일,9:00,21:00,10:00,18:00,Y,1,(시간당)5000원,,,7,,경기도 군포시 수리산로 112 (산본동),,,37.35921675,126.9194206,2023-11-30
군포시생활문화센터 다목적스튜디오,일,9:00,21:00,10:00,18:00,Y,1,(시간당)15000원,,,80,,경기도 군포시 수리산로 112 (산본동),,,37.35921675,126.9194206,2023-11-30
군포시생활문화센터 커뮤니티갤러리홀,일,9:00,21:00,10:00,18:00,Y,,,,,50,,경기도 군포시 수리산로 112 (산본동),,,37.35921675,126.9194206,2023-11-30
수리산상상마을 동아리실,토+일,9:00,18:00,0:00,0:00,N,,무료,,,20,,경기도 군포시 수리산로 112 (산본동),,,37.35921675,126.9194206,2023-11-30
수리산상상마을 디지털플랫폼,일,10:00,20:30,10:00,17:00,Y,1,(평일 시간당)20000원+(토요일 시간당)24000원,,,8,,경기도 군포시 수리산로 112 (산본동),,,37.35921675,126.9194206,2023-11-30
수리산상상마을 1인 미디어실 1,일,9:00,21:00,10:00,17:30,Y,1,(시간당)1250원+(토요일 시간당)1500원,,,1,,경기도 군포시 수리산로 112 (산본동),,,37.35921675,126.9194206,2023-11-30
수리산상상마을 1인 미디어실 2,일,9:00,21:00,10:00,17:30,Y,1,(시간당)1250원+(토요일 시간당)1500원,,,1,,경기도 군포시 수리산로 112 (산본동),,,37.35921675,126.9194206,2023-11-30
양천구 목3동 자치회관 배움터3,일,15:00,21:00,9:00,13:00,Y,1,5000,,,24,20,서울특별시 양천구 목동중앙남로16나길 55 (목동),,02-2620-3990,37.54474,126.864437,2023-11-20
양천구 목3동 자치회관 스튜디오,금+토+일,9:00,17:00,0:00,0:00,Y,1,5000,,,10,20,서울특별시 양천구 목동중앙남로16나길 55 (목동),,02-2620-3990,37.54474,126.864437,2023-11-20
양천구 목4동자치회관 지하회의실,토+일,9:00,21:00,0:00,0:00,Y,1,2000,,,30,108,서울특별시 양천구 목동중앙로 25 (목동),,02-2620-4004,37.532433,126.868397,2023-11-20
양천구 목5동자치회관 목마홀,일,18:00,20:00,9:00,13:00,Y,1,3000,,,100,300,서울특별시 양천구 목동서로 41 (목동),,02-2620-4026,37.537183,126.881717,2023-11-20
양천구 목5동자치회관 취미교실2,토+일,9:00,18:00,0:00,0:00,Y,1,2000,,,20,56,서울특별시 양천구 목동서로 41 (목동),,02-2620-4026,37.537183,126.881717,2023-11-20
양천구 목5동주민센터 북까페,일,9:00,20:00,9:00,17:00,N,,,,,10,30,서울특별시 양천구 목동서로 41 (목동),,02-2620-4026,37.537183,126.881717,2023-11-20
양천구 신월1동자치회관 다목적홀,토+일,9:00,20:00,0:00,0:00,Y,1,5000,,,80,165,서울특별시 양천구 곰달래로1길 38 (신월동),,02-2620-4068,37.532804,126.831526,2023-11-20
양천구 신월1동자치회관 2층 강의실,토+일,9:00,20:00,0:00,0:00,Y,1,2000,,,15,33,서울특별시 양천구 곰달래로1길 38 (신월동),,02-2620-4068,37.532804,126.831526,2023-11-20
양천구 신월2동자치회관 다목적홀,일,9:00,18:00,10:00,14:00,Y,1,3000,,,50,144,서울특별시 양천구 중앙로53길 47(신월동),,02-2620-4079,37.524973,126.84456,2023-11-20
양천구 신월2동자치회관 제2강의실,일,9:00,20:00,10:00,14:00,Y,1,2000,,,30,37,서울특별시 양천구 중앙로53길 47(신월동),,02-2620-4079,37.524973,126.84456,2023-11-20
양천구 신월3동자치회관 다목적실,일,18:00,20:30,9:00,12:00,Y,1,3000,,,80,115,서울특별시 양천구 남부순환로54길 5 (신월동),,02-2620-4096,37.53363,126.829081,2023-11-20
양천구 신월4동자치회관 문화강의실,토+일,9:00,18:00,0:00,0:00,Y,1,5000,,,20,49,서울특별시 양천구 오목로5길 34 (신월동),,02-2620-4115,37.524697,126.840079,2023-11-20
양천구 신월4동자치회관 어울림카페,토+일,9:00,18:00,0:00,0:00,N,,,,,20,33,서울특별시 양천구 오목로5길 34 (신월동),,02-2620-4115,37.524697,126.840079,2023-11-20
강진아트홀,월,9:00,22:00,9:00,22:00,Y,3,110000,0.5,55000,700,8449.2,전라남도 강진군 강진읍 영랑로1길 9,전라남도 강진군 남성리 23-2,061-430-3972,34.6381352,126.7704992,2023-07-21
강진아트홀,월,9:00,22:00,9:00,22:00,Y,3,60000,0.5,30000,700,8449.2,전라남도 강진군 강진읍 영랑로1길 9,전라남도 강진군 남성리 23-2,061-430-3972,34.6381352,126.7704992,2023-07-21
강진아트홀,월,9:00,22:00,9:00,22:00,Y,3,30000,0.5,15000,700,8449.2,전라남도 강진군 강진읍 영랑로1길 9,전라남도 강진군 남성리 23-2,061-430-3972,34.6381352,126.7704992,2023-07-21
강진아트홀,월,9:00,22:00,9:00,22:00,Y,3,40000,0.5,2000,700,8449.2,전라남도 강진군 강진읍 영랑로1길 9,전라남도 강진군 남성리 23-2,061-430-3972,34.6381352,126.7704992,2023-07-21
강진복지타운,월,9:00,22:00,9:00,22:00,Y,3,25000,0.5,12500,700,8449.2,전라남도 강진군 강진읍 영랑로1길 9,전라남도 강진군 남성리 23-2,061-430-3972,34.6381352,126.7704992,2023-07-21
탄현청소년문화의집 2층 별카페,월+법정 공휴일,9:00,21:00,9:00,21:00,N,,,,,60,177.91,"경기도 고양시 일산서구 일현로 97-11(탄현동, 일산 위브더제니스)",경기도 고양시 일산서구 탄현동 1640,031-995-4220,37.69507267,126.7621663,2023-12-22
